sample.id,DTU
TcI-CGl10,TcI
TcI-Colombiana,TcI
TcI-92101601Pcl1,TcI
TcI-Armadillo1973,TcI
TcI-CorpusChristi1955,TcI
TcI-Florida,TcI
TcI-TcCalifornia,TcI
TcI-USADogY,TcI
TcI-Tehcl2cl92,TcI-IV-USA
TcI-Florida C16,TcI-IV-USA
TcII-S11,TcII
TcII-Ycl6,TcII
TcII-S44a,TcII
TcII-S15,TcII
TcII-S23b,TcII
TcII-CBBcl3,TcII
TcIII-M5631cl5,TcIII
TcIII-CM17,TcIII
TcIII-231,TcIII
TcIII-M6241cl6,TcIII
TcIII-X109-2,TcIII
TcIII-X9-3,TcIII
TcIII-X110-8,TcIII
TcIII-IV-Ecua1,TcIII-IV
TcIII-IV-Ecua3,TcIII-IV
TcIV-CANIII CL1,TcIV
TcIV-EP-255,TcIV
TcIVUSA-92122102R,TcIV-USA
TcIVUSA-DogTheis,TcIV-USA
TcIVUSA-93053102R,TcIV-USA
TcIVUSA-93071502R,TcIV-USA
TcIVUSA-STC10R,TcIV-USA
TcIVUSA-STC16Rcl1,TcIV-USA
TcIVUSA-STC45R,TcIV-USA
TcIVUSA-STC54R,TcIV-USA
TcV-PSC-O,TcV
TcV-BrazilNIH1954,TcV
TcV-SC43,TcV
TcV-9280cl2,TcV
TcV-Ecua2,TcV
TcV-Ecua4,TcV
TcV-Bug2148cl1,TcV
TcVI-CA15,TcVI
TcVI-EPP38,TcVI
TcVI-TulaCl2,TcVI
TcVI-ClBrener,TcVI
TcVI-VMV4,TcVI
TcVI-86-2036,TcVI
